name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2020-06-24,31.9,21.5,24.8,33.9,21.5,25.3,20.9,80.8,32.49,100,66.67,rain,,,,15.7,261.3,,67.4,6.1,231.7,20,8,,2020-06-24T05:55:33,2020-06-24T18:48:47,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-06-25,29.9,21,24.3,32.4,21,25,21,83.6,52.84,100,75,rain,,,,16.6,233.3,,58.1,6,139.9,12,5,,2020-06-25T05:55:47,2020-06-25T18:48:58,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-06-26,29.9,20.4,24.4,32.4,20.4,24.9,20.9,82.5,17.7,100,29.17,rain,,,,11.2,281.8,,56.8,6.8,202.8,17.5,7,,2020-06-26T05:56:02,2020-06-26T18:49:08,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-06-27,28.9,21.2,24.9,31.3,21.2,25.6,21.3,81.5,13.8,100,41.67,rain,,,,14.7,239.9,,53.2,7.1,183.4,16,6,,2020-06-27T05:56:17,2020-06-27T18:49:18,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-06-28,29.9,21.5,25.3,32.4,21.5,26,21.5,80.7,10.3,100,66.67,rain,,,,18.5,270.2,,63.8,6.5,163.4,14.2,5,,2020-06-28T05:56:32,2020-06-28T18:49:27,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-06-29,28.9,12.4,24.6,31.9,12.4,25.3,21.5,82.1,2,100,45.83,rain,,,,21.3,251,,66.4,7.1,124.7,10.7,4,,2020-06-29T05:56:48,2020-06-29T18:49:35,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-06-30,29.9,21.1,25.2,31.8,21.1,25.8,20.9,78.9,4,100,20.83,rain,,,,16.9,274.2,,63.7,6.6,204.8,17.7,8,,2020-06-30T05:57:04,2020-06-30T18:49:42,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-01,29,21.5,25.1,31.3,21.5,25.8,20.5,76.8,0,0,0,,,,,22.5,256.3,,51.7,7.2,195.4,16.9,8,,2020-07-01T05:57:20,2020-07-01T18:49:49,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-02,26.9,21.7,23.3,28.7,21.7,23.3,21.2,88.8,11.69,100,41.67,rain,,,,22.3,250.4,,68.4,5.9,156.6,13.6,6,,2020-07-02T05:57:36,2020-07-02T18:49:56,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-03,28.9,20.4,23.4,30.7,20.4,23.6,20.7,86.5,14.7,100,50,rain,,,35.3,27.6,264.8,,70.2,5.9,142.3,12.4,5,,2020-07-03T05:57:52,2020-07-03T18:50:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-04,27.9,20.2,24,30.5,20.2,24.4,20.6,82.4,3,100,41.67,rain,,,,27.8,267.9,,71.6,5.9,265.4,22.9,9,,2020-07-04T05:58:09,2020-07-04T18:50:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-05,28,21.4,23.8,30.5,21.4,24,21.2,85.7,1.4,100,25,rain,,,,22.4,248.4,,65.7,6.1,185.9,16.1,6,,2020-07-05T05:58:25,2020-07-05T18:50:10,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-06,27,21,23.6,28.8,21,23.8,20.6,83.7,0.1,100,4.17,rain,,,40.7,25.7,244.8,,63.9,6.3,215.6,18.5,7,,2020-07-06T05:58:42,2020-07-06T18:50:13,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-07,28.9,21,24.1,31.2,21,24.6,20.7,82.4,7.3,100,12.5,rain,,,,24.2,249.6,,64.5,6.6,192.6,16.5,7,,2020-07-07T05:58:59,2020-07-07T18:50:15,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-08,29.9,20.7,23.9,32.4,20.7,24.4,21,85,26.22,100,62.5,rain,,,,22.3,246,,69.3,6.2,130.5,11.2,5,,2020-07-08T05:59:16,2020-07-08T18:50:17,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-09,29,20.6,24,31.8,20.6,24.5,21.1,85.1,27.53,100,75,rain,,,,20.5,251.3,,67,6.4,138.7,11.8,5,,2020-07-09T05:59:32,2020-07-09T18:50:18,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2020-07-10,27.9,21,23.7,30,21,23.9,21.1,86.7,21.7,100,33.33,rain,,,170.6,22.2,244.8,,67.4,5.3,217,18.8,7,,2020-07-10T05:59:49,2020-07-10T18:50:18,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
